120 100 15000.0
6 37 97 1695569.2
79 40 95 1667476.5
85 61 94 922471.3
8 111 112 110735.1
31 45 85 1027820.4
17 10 13 180911.3
79 5 84 2219679.3
79 43 61 635355.7
43 69 72 129632.5
70 18 102 2118084.4
25 33 109 1796991.7
22 11 116 2732331.6
35 59 74 500024.6
45 94 105 348725.2
43 31 81 1319348.7
11 35 39 224771.3
58 21 55 893270.3
11 82 86 191491.5
74 12 103 2277212.5
21 51 114 1735131.5
61 20 54 892649.4
60 13 99 2096878.1
24 77 93 444320.1
33 27 96 1780709.4
98 33 108 2159805.2
9 16 47 809201.3
87 102 120 549614.5
21 15 55 983242.2
61 29 80 1312580.5
16 61 92 715660.9
92 37 72 917707.2
22 46 69 722095.2
33 68 80 419796.5
28 34 47 431049.3
61 14 22 224640.8
86 58 64 203585.4
66 2 111 2983994.7
6 11 56 1182527.1
98 51 90 1108612.6
63 2 20 681328.8
98 76 120 1293746.5
15 16 59 1183914.5
28 36 61 710625.7
26 25 73 1331015.4
90 48 107 1620041.0
95 30 118 2177359.1
6 19 83 1637710.2
83 26 119 2255074.2
45 100 118 481543.7
29 49 107 1406996.1
24 38 70 1211920.9
19 57 95 1097848.0
66 8 114 2938582.4
62 20 41 686914.2
97 35 101 1683736.9
65 8 110 2401622.2
26 47 87 1129589.4
19 2 66 1587689.7
61 4 101 2356358.5
41 17 98 2083107.1
88 67 94 757768.4
31 91 93 172399.7
57 111 114 162384.2
10 21 117 2510070.4
34 4 5 160410.0
4 24 34 371751.7
62 1 69 1768757.4
60 32 44 450327.7
57 54 80 786752.3
81 41 108 1529334.7
62 9 9 15364.3
63 9 68 1515236.5
66 13 17 263629.1
72 15 48 1032829.3
81 71 85 457425.3
11 17 114 2374224.4
13 20 83 1785928.6
5 67 77 436907.4
71 81 87 250059.3
33 59 71 376744.7
39 1 109 2822501.0
50 67 111 1239400.2
41 74 83 408283.3
77 63 72 329166.6
68 76 104 846195.4
78 27 38 312251.0
22 80 110 812558.5
61 10 57 1173437.1
92 87 87 27569.7
44 52 53 133710.8
3 26 43 516459.4
3 4 39 810409.8
72 46 67 635066.5
91 20 32 440843.1
70 84 94 423756.2
70 9 109 2484706.3
61 42 104 1694285.2
32 78 109 875763.9
89 24 103 1912148.2
53 29 45 549869.8
76 61 110 1121866.5
68 14 31 578108.1
64 7 32 578325.7
89 14 111 2184559.7
13 47 108 1600202.4
95 47 67 642252.7
60 56 112 1391804.7
47 52 114 1543792.6
23 54 70 434838.2
23 44 83 825734.3
14 80 109 772767.5
62 114 115 139918.2
8 99 113 564347.2
80 36 110 1982777.3
29 8 57 1216191.2
21 20 21 33452.8
57 5 81 2002643.4
86 45 51 262228.0
29 3 101 2350736.7
74 59 87 671961.9
93 11 118 2815354.5
80 25 117 2510017.1
75 67 108 1065527.8
71 38 103 1605594.4
48 82 99 566121.6
91 23 118 2658039.4
83 52 106 1406985.4
81 85 118 807219.4
99 62 104 1148463.3
51 33 107 1707949.0
86 17 60 1206082.6
40 8 26 522155.1
98 9 88 2195625.7
59 1 62 1594716.8
50 47 93 1284942.9
29 9 40 890601.6
33 5 87 2056483.1
70 47 105 1514080.3
75 43 73 897924.6
87 67 90 823463.3
23 18 54 929840.2
7 27 44 472702.7
30 19 105 2300465.8
52 60 94 815224.1
94 72 75 132905.7
13 18 104 2263370.0
73 44 102 1444985.9
90 10 60 1388648.4
6 29 87 1544471.0
87 53 112 1626093.8
89 4 70 1581050.5
53 74 80 248792.3
31 57 113 1539567.8
43 13 107 2646216.9
98 62 70 320311.1
26 53 67 541264.5
17 18 96 1934591.4
